"childcare","children","care","gender","women","security","abuse","education","sustainability","school","service","criminal","safety","prison","girls","homelessness","housing","plastic","theft","immigration","climate","aid","pollution","patients","mental","university","hospital","digital","vulnerable","disabled","water","welfare","knife","refugee","old","electricity","Member_ID","Date","Member_name","Gender","party","constituency","RegionName","WageMedianConst","WageMedianRegion","Minority_indicator"
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061,"2019-01","Bill Esterson","M","Labour","Sefton Central","North West",720,649,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4598,"2019-01","Mohammad Yasin","M","Labour","Bedford","East of England",689,706,"1"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4698,"2019-01","Janet Daby","F","Labour","Lewisham East","London",764,796,"1"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4131,"2019-01","Jim Shannon","M","Democratic Unionist Party","Strangford","Northern Ireland",677,643,"0"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3973,"2019-01","Grahame Morris","M","Labour","Easington","North East",625,614,"0"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"2019-01","Kelvin Hopkins","M","Independent","Luton North","East of England",645,706,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,"2019-01","David Hanson","M","Labour","Delyn","Wales",674,636,"0"
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4384,"2019-01","Mike Wood","M","Conservative","Dudley South","West Midlands",645,652,"0"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4025,"2019-01","Mrs Pauline Latham","F","Conservative","Mid Derbyshire","East Midlands",707,640,"0"
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4050,"2019-01","Gordon Henderson","M","Conservative","Sittingbourne and Sheppey","South East",685,724,"0"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997,"2019-01","Alec Shelbrooke","M","Conservative","Elmet and Rothwell","Yorkshire and The Humber",796,632,"0"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453,"2019-01","Andrew Selous","M","Conservative","South West Bedfordshire","East of England",739,706,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4608,"2019-02","John Lamont","M","Conservative","Berwickshire, Roxburgh and Selkirk","Scotland",670,702,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566,"2019-02","Daniel Kawczynski","M","Conservative","Shrewsbury and Atcham","West Midlands",629,652,"0"
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4046,"2019-02","Bridget Phillipson","F","Labour","Houghton and Sunderland South","North East",574,614,"0"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4510,"2019-02","Helen Hayes","F","Labour","Dulwich and West Norwood","London",846,796,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4050,"2019-02","Gordon Henderson","M","Conservative","Sittingbourne and Sheppey","South East",685,724,"0"
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,"2019-02","Mr Virendra Sharma","M","Labour","Ealing, Southall","London",685,796,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4052,"2019-02","Mark Pawsey","M","Conservative","Rugby","West Midlands",689,652,"0"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4667,"2019-02","Mike Amesbury","M","Labour","Weaver Vale","North West",675,649,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4669,"2019-02","Damien Moore","M","Conservative","Southport","North West",697,649,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4498,"2019-02","Mr Ranil Jayawardena","M","Conservative","North East Hampshire","South East",858,724,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4613,"2019-02","Alex Burghart","M","Conservative","Brentwood and Ongar","East of England",899,706,"0"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4430,"2019-02","Alison Thewliss","F","Scottish National Party","Glasgow Central","Scotland",688,702,"0"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,"2019-03","Sir Vince Cable","M","Liberal Democrat","Twickenham","London",815,796,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,"2019-03","Mrs Sheryll Murray","F","Conservative","South East Cornwall","South West",642,664,"0"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003,"2019-03","Teresa Pearce","F","Labour","Erith and Thamesmead","London",721,796,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,"2019-03","Greg Hands","M","Conservative","Chelsea and Fulham","London",862,796,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,"2019-03","Lord Bellingham","M","Conservative","Life peer",NA,NA,NA,"0"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4451,"2019-03","Kevin Foster","M","Conservative","Torbay","South West",580,664,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997,"2019-03","Alec Shelbrooke","M","Conservative","Elmet and Rothwell","Yorkshire and The Humber",796,632,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,"2019-03","Paul Blomfield","M","Labour","Sheffield Central","Yorkshire and The Humber",643,632,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4642,"2019-03","Mr Paul Sweeney","M","Labour (Co-op)","Glasgow North East","Scotland",641,702,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3998,"2019-03","Mark Menzies","M","Conservative","Fylde","North West",726,649,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,"2019-04","Philip Dunne","M","Conservative","Ludlow","West Midlands",665,652,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4509,"2019-04","Craig Tracey","M","Conservative","North Warwickshire","West Midlands",633,652,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3999,"2019-04","Graham P Jones","M","Labour","Hyndburn","North West",611,649,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4682,"2019-04","Luke Pollard","M","Labour (Co-op)","Plymouth, Sutton and Devonport","South West",560,664,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,"2019-04","Rebecca Pow","F","Conservative","Taunton Deane","South West",640,664,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3985,"2019-04","Robert Halfon","M","Conservative","Harlow","East of England",662,706,"0"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4435,"2019-04","Patricia Gibson","F","Scottish National Party","North Ayrshire and Arran","Scotland",704,702,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4498,"2019-04","Mr Ranil Jayawardena","M","Conservative","North East Hampshire","South East",858,724,"0"
